sub,day,condition,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,average_corr,delta,theta,alpha,beta,gamma
control_0,control,mindfulness,0.4823,0.7919,0.6198,0.8226,0.3096,2.5993,0.5499,4.8166,1.88,5.0783,1.2792,1.3727
0,day1,jhana,0.4848,0.7851,0.6221,0.8083,0.3049,2.4665,0.5588,4.2702,1.4438,6.105,0.7132,0.2764
0,day1,mindfulness,0.497,0.7708,0.6169,0.7943,0.3063,2.2896,0.5696,6.68,2.4967,12.2207,1.3271,0.2347
0,day2,jhana,0.56,0.8004,0.6496,0.933,0.3711,2.1313,0.5682,5.7771,2.5309,21.4039,1.571,0.3841
0,day3,mindfulness,0.5195,0.7785,0.6385,0.8335,0.3292,2.2041,0.522,4.7222,1.9168,7.838,1.0974,0.2478
control_10,control,mindfulness,0.4223,0.7655,0.6004,0.6997,0.255,2.8731,0.4343,7.5688,2.364,17.3232,0.6071,0.1464
control_11,control,mindfulness,0.4713,0.7529,0.6063,0.7468,0.2928,2.2785,0.5026,6.4922,2.2811,8.6708,0.6224,0.2043
control_1,control,mindfulness,0.5108,0.7964,0.6421,0.8701,0.3338,2.4344,0.4851,16.1735,3.5354,5.3777,1.5378,0.5204
1,day4,jhana,0.4226,0.7176,0.5731,0.6485,0.2417,2.3621,0.5392,7.4097,4.4914,12.8621,0.6518,0.1006
1,day4,mindfulness,0.4427,0.7228,0.5804,0.6819,0.262,2.2339,0.4886,5.2882,3.0825,10.2558,0.6318,0.0656
2,day1,jhana,0.5167,0.8031,0.6342,0.8733,0.3434,2.5135,0.4121,10.7104,2.6029,2.4728,0.6064,0.3278
2,day1,mindfulness,0.4816,0.785,0.6006,0.7992,0.3019,2.5408,0.45,13.8628,3.6355,3.0958,0.4554,0.2259
2,day2,jhana,0.5608,0.8111,0.664,0.9535,0.3863,2.1922,0.4924,3.2339,1.2352,1.2756,0.3784,0.2423
2,day2,mindfulness,0.5197,0.7885,0.6216,0.8595,0.3406,2.2595,0.505,2.2404,2.5032,2.4891,0.3917,0.1851
2,day3,jhana,0.4938,0.8015,0.6106,0.8437,0.3251,2.6395,0.4156,32.3903,3.5501,2.0627,0.5687,0.3436
2,day3,mindfulness,0.466,0.7889,0.6033,0.7952,0.296,2.6744,0.5059,10.5108,3.6648,2.6178,0.4769,0.2406
control_3,control,mindfulness,0.5986,0.8141,0.6706,1.0262,0.4266,2.0468,0.4905,10.1848,5.8987,6.4232,4.882,2.604
3,day2,jhana,0.4718,0.7636,0.6229,0.7558,0.2923,2.3849,0.5441,5.6203,2.4766,30.8463,2.4532,0.3122
3,day2,mindfulness,0.4562,0.7649,0.6198,0.7411,0.2826,2.5205,0.5788,5.5856,2.5432,22.7302,1.7409,0.506
