sub,day,condition,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,average_corr,delta,theta,alpha,beta,gamma
control_0,control,mindfulness,0.4704,0.793,0.614,0.8033,0.2993,2.7527,0.5505,6.9065,2.0703,4.6153,1.177,1.2279
0,day1,jhana,0.4368,0.7445,0.5645,0.69,0.2635,2.5103,0.5352,12.165,3.4892,30.9387,1.8994,0.2724
0,day1,mindfulness,0.4834,0.7464,0.5849,0.7534,0.3013,2.1314,0.5127,9.697,5.5951,49.384,3.3505,0.3277
0,day2,jhana,0.5309,0.7839,0.6182,0.8662,0.3441,2.1507,0.5338,7.3096,3.872,38.3405,2.4435,0.4072
0,day2,mindfulness,0.4372,0.7312,0.5758,0.6644,0.2623,2.4015,0.5738,12.7799,5.455,36.1713,2.5437,0.2375
0,day3,jhana,0.5121,0.769,0.6041,0.8244,0.3298,2.1404,0.4753,16.6197,3.8819,25.7802,2.0635,0.5368
0,day3,mindfulness,0.491,0.7509,0.5896,0.7662,0.3083,2.1274,0.4771,7.6069,4.1646,38.3258,3.0056,0.3333
0,day4,jhana,0.4307,0.752,0.5672,0.6931,0.2578,2.5992,0.5604,13.4589,3.7998,37.1738,1.8196,0.2353
0,day4,mindfulness,0.4271,0.7515,0.5567,0.6955,0.2585,2.708,0.5185,0.4955,0.0466,0.1659,0.0112,0.0021
control_10,control,mindfulness,0.3944,0.7594,0.573,0.6453,0.2293,3.1812,0.4135,15.3549,3.4537,14.7753,0.6524,0.1864
control_11,control,mindfulness,0.4464,0.7417,0.5819,0.6974,0.2659,2.389,0.5432,7.9849,3.4117,10.2816,0.7532,0.2602
control_12,control,mindfulness,0.4195,0.7414,0.5704,0.6712,0.2457,2.662,0.3575,626.8547,109.7403,82.6838,35.4697,14.1332
control_1,control,mindfulness,0.5191,0.7979,0.6476,0.8821,0.34,2.387,0.4926,9.4479,2.8476,4.9136,1.89,0.7233
1,day1,jhana,0.4097,0.7174,0.5743,0.6388,0.237,2.5096,0.5334,15.0734,6.0397,19.0398,1.078,0.1195
1,day1,mindfulness,0.3828,0.6981,0.5495,0.5938,0.2163,2.5965,0.516,26.7983,8.8125,31.7447,1.2702,0.128
1,day2,jhana,0.3641,0.7275,0.5438,0.5774,0.2059,3.3344,0.6237,24.6433,5.8872,19.288,1.0248,0.1541
1,day2,mindfulness,0.3752,0.7005,0.5456,0.5831,0.2113,2.7439,0.5096,10.0934,6.979,23.1564,1.0541,0.0935
1,day3,jhana,0.3888,0.7123,0.5607,0.6064,0.2212,2.7183,0.5225,16.9888,6.9363,20.183,1.0504,0.1106
1,day3,mindfulness,0.3771,0.7003,0.5472,0.5874,0.2124,2.6719,0.5202,10.1448,7.1507,23.2993,1.0553,0.091
1,day4,jhana,0.3896,0.7221,0.5566,0.6143,0.2223,2.799,0.5565,11.0772,4.7745,14.6848,0.7271,0.0972
1,day4,mindfulness,0.4006,0.7106,0.5587,0.6233,0.2312,2.5045,0.5127,9.0347,4.5874,13.5177,0.7089,0.0744
control_2,control,mindfulness,0.5077,0.8073,0.6232,0.8678,0.3372,2.6203,0.4918,92.4494,30.9368,24.6843,11.0189,7.5947
2,day1,jhana,0.5133,0.8027,0.6321,0.8724,0.3402,2.5277,0.4258,19.0262,3.1179,2.7938,0.5792,0.3072
2,day1,mindfulness,0.48,0.7826,0.5981,0.7963,0.3004,2.5043,0.46,7.4193,3.8012,3.4122,0.4515,0.2125
2,day2,jhana,0.5538,0.8111,0.6599,0.9449,0.3769,2.2302,0.5098,2.5578,1.2224,1.3645,0.3721,0.2353
2,day2,mindfulness,0.5197,0.7895,0.6231,0.8606,0.3386,2.2591,0.5187,2.0407,2.342,2.3178,0.3852,0.1838
2,day3,jhana,0.4743,0.7985,0.598,0.8114,0.3072,2.8416,0.3964,48.7566,5.4815,2.8239,0.594,0.338
2,day3,mindfulness,0.4685,0.7883,0.6037,0.7972,0.2971,2.6396,0.503,11.9571,3.8261,2.9589,0.4866,0.236
2,day4,jhana,0.4116,0.7997,0.561,0.7176,0.2574,3.4672,0.5176,362.3268,70.9878,33.4364,12.9011,4.7915
2,day4,mindfulness,0.2839,0.7823,0.4163,0.4999,0.1543,5.0471,0.7862,503.5115,70.9038,26.8937,6.3635,1.9566
control_3,control,mindfulness,0.5657,0.8113,0.6528,0.973,0.3947,2.2003,0.5307,6.1463,1.2664,5.5925,2.1318,2.1026
3,day1,jhana,0.4034,0.75,0.5529,0.6492,0.2359,2.9354,0.4522,17.5642,4.6799,24.8663,2.861,0.7674
3,day1,mindfulness,0.4138,0.7566,0.576,0.6664,0.2457,2.922,0.4155,28.9013,2.9274,24.7036,2.2221,0.5858
3,day2,jhana,0.4488,0.7566,0.6013,0.7131,0.2705,2.5312,0.5441,7.1701,2.9404,43.3059,2.7695,0.3184
3,day2,mindfulness,0.4104,0.7598,0.5869,0.6696,0.2464,3.0242,0.6003,9.8622,3.1431,33.7483,2.0838,0.5014
3,day3,jhana,0.329,0.738,0.5117,0.5383,0.1787,3.8232,0.6426,21.7298,2.4757,28.219,1.8323,0.1696
3,day3,mindfulness,0.3813,0.759,0.5546,0.6343,0.221,3.2903,0.6236,19.8066,3.0792,26.9464,1.83,0.4154
3,day4,jhana,0.377,0.7511,0.5543,0.61,0.2255,3.2226,0.4427,12.155,1.9046,4.3918,1.0334,1.5399
3,day4,mindfulness,0.4168,0.7489,0.5696,0.6559,0.2437,2.8775,0.3525,60.7905,4.2163,9.5047,1.2017,0.4844
control_4,control,mindfulness,0.4544,0.7697,0.6163,0.7315,0.2765,2.6125,0.4739,6.897,1.6566,3.3403,0.969,0.2372
4,day1,jhana,0.4528,0.805,0.6022,0.7914,0.2838,3.0935,0.4198,25.2151,3.9524,2.8334,0.6544,0.4061
4,day1,mindfulness,0.4195,0.7865,0.5789,0.7157,0.2531,3.2674,0.3923,166.6328,8.1842,4.4569,0.7098,0.3869
4,day2,jhana,0.4387,0.8009,0.5916,0.7704,0.2723,3.0953,0.5039,7.3954,1.7706,2.1228,0.46,0.4294
4,day2,mindfulness,0.3882,0.7756,0.5556,0.661,0.2248,3.4018,0.4853,7.5974,2.5821,2.2973,0.3052,0.2316
4,day3,jhana,0.4799,0.8097,0.6178,0.8433,0.3094,2.8373,0.4107,12.6669,3.1078,2.3615,0.7509,0.5762
4,day3,mindfulness,0.4166,0.7776,0.5755,0.6992,0.2468,3.0658,0.4235,7.8342,1.5543,1.8324,0.3062,0.1292
4,day4,jhana,0.3042,0.798,0.4341,0.5403,0.1964,6.0315,0.6927,0.2998,0.0262,0.0127,0.0042,0.0015
4,day4,mindfulness,0.3186,0.7971,0.4765,0.5748,0.2011,5.5801,0.5354,0.0,0.0,0.0,0.0,0.0
control_5,control,mindfulness,0.3338,0.7184,0.502,0.5379,0.1834,3.5596,0.4437,11.8412,3.5921,13.5552,0.5475,0.0906
5,day1,jhana,0.5101,0.8173,0.6536,0.8974,0.3474,3.041,0.5087,10.3739,1.6211,1.9104,0.7941,0.3929
5,day1,mindfulness,0.496,0.7974,0.6285,0.8422,0.3201,2.6277,0.4535,3.4172,1.1135,2.3182,0.5018,0.2242
5,day2,jhana,0.6123,0.8266,0.7138,1.06,0.4501,2.1826,0.6313,1.9546,0.576,1.0577,0.5422,0.4235
5,day2,mindfulness,0.5558,0.8135,0.6746,0.9514,0.3814,2.4546,0.5466,1.6411,0.3356,0.9181,0.274,0.2047
5,day3,jhana,0.5457,0.8271,0.6758,0.9836,0.3867,2.4812,0.6809,12.3265,2.5149,2.7956,0.92,0.5403
5,day3,mindfulness,0.4688,0.8017,0.6229,0.8105,0.2986,2.8625,0.6602,7.1889,1.4286,3.7534,0.611,0.3175
5,day4,jhana,0.6208,0.831,0.723,1.097,0.4589,2.0051,0.6264,4.6412,1.1881,1.5617,0.736,0.6173
5,day4,mindfulness,0.5316,0.8044,0.6698,0.9072,0.3534,2.3359,0.568,12.7317,3.3588,3.9936,2.4841,0.5936
control_6,control,mindfulness,0.5247,0.815,0.6293,0.9188,0.3519,2.5448,0.4298,10.3554,1.5984,3.7641,0.776,0.6594
6,day1,jhana,0.597,0.8149,0.6899,1.0189,0.4302,2.028,0.5143,21.5837,5.4981,27.4404,2.2765,1.5837
6,day1,mindfulness,0.4414,0.7802,0.576,0.7282,0.2703,3.0653,0.4442,24.0733,5.1198,26.8032,1.31,0.4867
6,day2,jhana,0.7064,0.8261,0.743,1.1638,0.5886,1.5666,0.6566,13.6613,3.8405,18.4922,4.7615,4.7842
6,day2,mindfulness,0.5236,0.7787,0.6145,0.8451,0.3381,2.175,0.4446,9.0203,6.5293,18.6542,1.4269,0.6115
6,day3,jhana,0.5536,0.8164,0.679,0.9727,0.3913,2.246,0.6721,17.0969,3.0758,13.6226,1.8864,1.6389
6,day3,mindfulness,0.4373,0.7722,0.5726,0.7247,0.2628,2.7344,0.5463,13.666,3.7153,13.386,0.9597,0.4951
6,day4,jhana,0.5243,0.8131,0.6591,0.9211,0.3637,2.5294,0.78,22.3475,3.9481,20.862,2.2023,1.5099
6,day4,mindfulness,0.3153,0.7628,0.5022,0.5405,0.1708,4.2436,0.83,41.2251,6.039,19.8173,1.0183,0.3548
control_7,control,mindfulness,0.3965,0.7293,0.561,0.6241,0.2245,2.725,0.4833,29.9585,8.2243,13.3733,1.0368,0.1608
7,day1,jhana,0.5307,0.8204,0.6582,0.9513,0.3659,2.4481,0.4804,9.2638,1.3606,2.33,0.9631,0.5158
7,day1,mindfulness,0.5182,0.821,0.644,0.9339,0.3544,2.5697,0.4427,10.4499,1.3644,2.9826,0.9609,0.4241
7,day2,jhana,0.4335,0.8188,0.584,0.7929,0.2768,3.2498,0.6232,22.2896,1.9022,2.4509,0.876,0.5508
7,day2,mindfulness,0.3457,0.8397,0.4721,0.671,0.2627,6.6561,0.5766,351.5059,20.8548,7.5922,1.2193,0.2539
7,day3,jhana,0.562,0.8249,0.6848,1.0085,0.3922,2.2676,0.527,13.1965,1.7754,2.4528,0.8399,0.4946
7,day3,mindfulness,0.5148,0.807,0.6512,0.8977,0.3409,2.4503,0.5288,6.4806,1.3724,4.4953,0.8734,0.3905
