sub,day,condition,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,average_corr,delta,theta,alpha,beta,gamma
0,day1,jhana,0.4297,0.7439,0.5522,0.6738,0.2568,2.7023,0.5439,24.5135,4.2324,25.4493,1.5185,0.2513
0,day1,mindfulness,0.485,0.7449,0.5825,0.7552,0.3039,2.1033,0.4981,9.8901,5.7938,52.1115,3.5351,0.3321
0,day2,jhana,0.5357,0.7869,0.6208,0.8724,0.3465,2.1905,0.5293,8.7286,4.5233,45.2799,2.7414,0.3847
0,day2,mindfulness,0.4484,0.7462,0.5963,0.6424,0.2752,2.4306,0.4691,11.4062,4.0305,17.9005,1.9039,0.1936
0,day3,jhana,0.4992,0.7631,0.5923,0.7963,0.3182,2.2535,0.4571,10.7996,5.5511,52.452,3.4212,0.3742
0,day3,mindfulness,0.4881,0.7458,0.5863,0.7552,0.3055,2.1111,0.4673,7.7547,4.2593,38.337,3.0401,0.322
0,day4,jhana,0.4204,0.7466,0.555,0.6677,0.2491,2.7675,0.4904,15.6193,5.9312,78.4825,3.7326,0.3653
0,day4,mindfulness,0.4219,0.7458,0.5494,0.6664,0.2483,2.7826,0.4784,25.6613,7.6691,67.1361,3.9665,0.3177
1,day1,jhana,0.3939,0.7144,0.5585,0.607,0.2249,3.0133,0.5025,13.7363,11.4775,30.545,1.8433,0.1477
1,day1,mindfulness,0.3846,0.694,0.5481,0.5924,0.2157,2.5392,0.5151,29.1706,9.6157,26.815,1.2448,0.1143
1,day2,jhana,0.3795,0.7264,0.55,0.5961,0.2144,3.1382,0.5804,12.5735,7.3004,20.7487,1.462,0.1261
1,day2,mindfulness,0.3756,0.6987,0.5457,0.5832,0.2124,2.7316,0.5126,17.0383,12.514,43.0436,1.9824,0.143
1,day3,jhana,0.3805,0.7145,0.5519,0.59,0.2157,3.015,0.5033,15.1206,10.0823,27.4635,1.943,0.2081
1,day3,mindfulness,0.3752,0.698,0.5451,0.5823,0.2117,2.7221,0.5143,16.991,12.7305,43.5883,1.993,0.1392
1,day4,jhana,0.3899,0.7201,0.5518,0.6097,0.222,2.8319,0.534,11.975,7.7739,25.5886,1.4087,0.1298
1,day4,mindfulness,0.3983,0.7091,0.5538,0.6156,0.229,2.6072,0.5029,7.5692,5.2166,20.7476,0.9126,0.0761
2,day1,jhana,0.5387,0.8009,0.6371,0.9041,0.3634,2.3901,0.4043,3.1235,1.5104,2.5491,0.3553,0.1726
2,day1,mindfulness,0.4863,0.7764,0.5938,0.7967,0.3045,2.4173,0.4367,5.9394,4.0333,5.3355,0.3537,0.1366
2,day2,jhana,0.5682,0.8092,0.6631,0.955,0.3909,2.1466,0.4892,4.9133,1.2909,1.2738,0.3815,0.2293
