,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma
Mean_SCL,1.0,0.00016377813660290287,0.26566678964461476,-0.3550368801263779,0.09002339938451004,0.10316898316159877,0.037802471830064556,-0.03198441628058921,0.25238012695350726,-0.03683074867385758,-0.1932191974363414,0.2214878096242707,0.10479431122430885,0.08561906219214417,0.3510436877718579,-0.07569536029301296,0.0758916457935392,-0.26449846444248665,-0.4553261529472319,-0.2491171072673272,-0.3022892758197954,-0.3017910916285804,0.21066925790820504,-0.2550143915047099,0.3550291170719016,-0.302285060299487,-0.4553261529472319,-0.17195723220884643,0.04815131771978791,0.25031788099306135,0.23002773850780903,0.21049430308130077,0.07172718487055237
Num_SCRs,0.00016377813660290287,1.0,-0.12135494074337341,-0.017701172628458668,0.13230584558918804,0.06033108589419784,-0.08376383148411648,0.07934293193292673,-0.03852694515833408,0.11654340623530113,-0.1961370164607078,-0.13710508615102035,0.04885092472477,-0.26613438474703827,-0.07753240744566853,0.030183888774090745,0.0607833771291762,0.07615637349240106,-0.01743873052212588,0.11265454734471048,0.08514975423356881,0.07866120304837772,-0.13628380009701674,-0.013831806407047925,-0.02400546307414065,0.08514657768366041,-0.01743873052212588,0.11092925063975115,-0.08646519101672072,-0.05849449183720726,-0.03389330232719475,-0.08352617092200347,-0.07384223864554247
Mean_SCR_Amplitude,0.26566678964461476,-0.12135494074337341,1.0,0.1351840878470294,0.20252520381723504,-0.006181766206521199,0.30840078589541076,-0.0924932299508453,0.31580601530002167,-0.2892288536234338,0.10706130564248183,0.42374362859532666,-0.04865876613197244,0.23792970008895187,0.407714084977884,-0.06510260057813312,0.20726820927041217,-0.07632764542105194,-0.13551233412306435,-0.10781919293264304,-0.09158777193760764,-0.10371959303770038,0.05795218889665461,-0.059902925679494755,0.10149000153603335,-0.09158487843770009,-0.13551233412306435,0.012370848256102655,0.1185130526554221,0.019425355228686714,0.22894988623250978,0.15605786551282663,0.021744195227004007
Mean_HR,-0.3550368801263779,-0.017701172628458668,0.1351840878470294,1.0,-0.16514036985648145,-0.2688510094182329,0.33476810663264045,-0.0920448849474397,0.15421665788837352,-0.3259012568229957,0.1752748996806639,0.1899769039762826,-0.24822912926446722,-0.09078535795212553,0.00532534879380844,0.06689766478597686,0.21534876669607736,0.148581213593694,0.057370646719834106,0.16239601677331342,0.1632678651855513,0.12420022038437302,-0.22764887009019968,0.17045020577531592,-0.2464232604889305,0.16326923549036249,0.057370646719834106,0.1911319507343654,-0.07938606975408924,-0.2380653939226033,0.12244364675595987,0.149068539226228,0.013087627751570782
SDNN,0.09002339938451004,0.13230584558918804,0.20252520381723504,-0.16514036985648145,1.0,0.6334731448945529,-0.04005517364204538,-0.07330544915278976,0.2631602914344656,-0.3622791647655811,0.12851430979410577,0.3866250771474723,-0.1843123094551785,-0.1279712038761537,0.27948042775839993,-0.0814731650086718,0.11356469944727754,0.00804011311815395,-0.030838721927145964,-0.00078355362890764,0.007971535279382502,-0.008539911667698177,-0.004432443090757936,-0.0751995438009042,-0.008061982963803853,0.007965114118296474,-0.030838721927145964,0.003672117153544597,0.060431179528372465,-0.04500574979221118,-0.07647715048794262,0.03929707475400156,0.09041372841753985
RMSSD,0.10316898316159877,0.06033108589419784,-0.006181766206521199,-0.2688510094182329,0.6334731448945529,1.0,0.08459931478532515,0.4611241842872434,-0.09285038253424756,-0.17227556353307494,0.16628155827204508,0.2756245844946473,-0.11491770695156951,-0.06707914380006025,0.15137738224484026,-0.12756309782712358,-0.001684574189733293,-0.09037698290296461,0.012383816047887483,-0.10002649170265081,-0.07036549159582123,-0.11880615503366945,0.07888357590386505,-0.13222875754615032,0.056835491898196776,-0.07037799168436978,0.012383816047887483,-0.07311384395628431,-0.0069400918504160585,-0.07909421959799853,-0.15779893396203445,-0.08570200762285068,-0.03359426509773745
LF,0.037802471830064556,-0.08376383148411648,0.30840078589541076,0.33476810663264045,-0.04005517364204538,0.08459931478532515,1.0,0.3786435881882772,0.3116501448192056,-0.43498080556524293,0.10512747111679001,0.4419739343822493,-0.29608670507179125,-0.0562549459733425,0.23539445727904845,-0.19645875529565437,0.1191202337985502,-0.08733814624172694,-0.0731880869459016,-0.10573343467627423,-0.0673513200209418,-0.13669855850252666,-0.0033197572866157732,-0.1093868300855019,0.028042109265020262,-0.0673601229081504,-0.0731880869459016,-0.011549518326151132,-0.04241299570555702,-0.16956273191093613,0.10902987431483951,0.09881203845021407,-0.033167556786838095
HF,-0.03198441628058921,0.07934293193292673,-0.0924932299508453,-0.0920448849474397,-0.07330544915278976,0.4611241842872434,0.3786435881882772,1.0,-0.3606045351691025,0.079961597211331,0.05822356301184074,-0.0707061939010392,-0.00884454372824357,0.010443497938099221,-0.09819813277342468,-0.013425780892788097,0.011734215265381012,-0.15830346124621747,0.007122886350199157,-0.14911687293066792,-0.13120301123765604,-0.17459984598921016,0.11587456788958733,-0.12689129624085993,0.10236436723068487,-0.13121361366550793,0.007122886350199157,-0.10590312829391191,0.006996758600523381,-0.026827904146434017,0.006199726426654548,-0.0700395229980138,-0.13273343387173728
LF_HF_Ratio,0.25238012695350726,-0.03852694515833408,0.31580601530002167,0.15421665788837352,0.2631602914344656,-0.09285038253424756,0.3116501448192056,-0.3606045351691025,1.0,-0.4987649976892667,-0.08430805073421167,0.5041059802510216,-0.1656017896008626,-0.15268731672121566,0.34637608644758777,-0.17533944196444468,0.0375282331636906,0.09576463480677927,0.003385060920365421,0.07948837274481765,0.098071961718615,0.06832058326197804,-0.10905256194603213,0.041577099873605146,-0.08304577118739419,0.0980676463556788,0.003385060920365421,0.11568981572449395,-0.10413720980214916,-0.12867315408831406,-0.07360839899831355,0.10984546472952736,0.18723759336673193
Mean_RR,-0.03683074867385758,0.11654340623530113,-0.2892288536234338,-0.3259012568229957,-0.3622791647655811,-0.17227556353307494,-0.43498080556524293,0.079961597211331,-0.4987649976892667,1.0,-0.29462092029174947,-0.8769034177288466,0.6649663770971533,0.16359969055779625,-0.425579173566235,0.23200235701693256,-0.18571660414958974,-0.26438880691977973,-0.2608100570342358,-0.25733899322599213,-0.29728168599234633,-0.23348841824073846,0.2796630514441644,-0.16018939181285793,0.3652789985705914,-0.2972682814598099,-0.2608100570342358,-0.2814921264378016,0.15468087095997782,0.45924181219292187,0.22438124397633655,-0.054521558284504786,-0.15611152364762781
