sub,day,condition,button,jhana,ch_name,n_epochs_x,n_channels_x,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
0,day1,jhana,all,all,,,,6.717,388104,10.737,82.281,31.021,17.644,5.221,2.246,2.324,10.677,1.76,5.768,1.733,0.225,0.939,369.0,30.0,0.5773166666666667,0.9601966666666667,0.6290666666666667,1.3022266666666666,0.43593,3.3729099999999996,1.99552,7.809143333333334,1.3016433333333335,0.9601966666666667,0.64066,14.031113333333334,4.315323333333334,23.180799999999998,1.8658033333333333,0.28958666666666666,1.0,1.0,1.5,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,,,,,,,,8.57797,80.0,80.0,8.28744125,2.0,2.0
0,day1,mindfulness,all,all,,,,7.618,384784,2.995,75.522,38.887,24.104,15.98,5.826,2.743,9.75,2.056,6.468,2.192,0.279,1.463,369.0,30.0,0.62580625,0.952709375,0.651571875,1.389146875,0.48948125,2.93200625,2.040825,7.5374375,1.388534375,0.952709375,0.561621875,8.071859375,3.945759375,21.95975625,1.879171875,0.315096875,1.0,2.0,,,,,,,,,,,,,,7.0,5.0,5.0,9.0,0.0,0.0,7.0,7.80177,,80.0,,7.0,6.0
0,day2,jhana,all,all,,,,3.658,384808,22.639,86.096,25.155,15.12,18.323,8.187,2.238,10.776,0.951,5.798,2.117,0.141,1.233,434.0,32.0,0.7334655172413792,0.9769827586206896,0.7249275862068966,1.6290931034482758,0.6429448275862069,2.4429413793103447,2.1521275862068965,6.736875862068966,1.6284551724137932,0.9769827586206896,0.6958862068965518,6.345927586206897,2.8852344827586203,15.722172413793103,1.3478827586206896,0.3955758620689655,2.0,2.0,8.0,4.0,,,,,,,,,,,8.0,,,,,,,,7.95944,,80.0,,4.0,4.0
0,day2,mindfulness,all,all,,,,4.157,381888,20.543,86.339,26.007,15.159,14.556,5.152,2.825,12.119,0.804,5.152,2.413,0.113,1.054,416.0,29.0,0.5518,0.9375652173913044,0.6163260869565217,1.208786956521739,0.39449999999999996,3.3553913043478265,1.9872826086956523,8.202917391304348,1.2082217391304348,0.9375652173913044,0.6294521739130434,10.448495652173914,4.309699999999999,21.32574347826087,1.8436217391304348,0.21592173913043478,2.0,1.0,,,,,,,,,,,,,,6.0,3.0,5.0,2.0,0.0,0.0,8.0,8.37795,,80.0,,6.0,4.5
0,day3,jhana,all,all,,,,4.409,384720,18.071,87.795,23.939,12.455,5.567,2.094,2.658,12.213,1.507,5.066,2.136,0.237,0.904,349.0,23.0,0.6844172413793103,0.9657551724137932,0.6918620689655173,1.5079068965517242,0.5707862068965518,2.6988206896551725,2.1619827586206894,7.107027586206897,1.507303448275862,0.9657551724137932,0.6304758620689654,7.141279310344828,3.669989655172414,19.143944827586207,1.5976724137931035,0.3808965517241379,1.0,1.0,,4.0,,,,,,,,,,,8.0,,,,,,,,7.94771,,80.0,,4.0,4.0
0,day3,mindfulness,all,all,,,,3.909,389128,3.19,84.961,22.269,13.064,14.042,5.677,2.474,13.573,1.645,4.682,3.074,0.414,1.218,419.0,29.0,0.638096875,0.9589125000000001,0.6600374999999999,1.423921875,0.504865625,2.895296875,2.06671875,7.373671875,1.4233125,0.9589125000000001,0.574103125,7.930878125,3.655984375,20.24715625,1.87155,0.293334375,1.0,2.0,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,0.0,0.0,2.0,8.6011,,80.0,,3.0,3.0
0,day4,jhana,all,all,,,,2.971,393968,8.045,84.57,31.73,13.23,1.139,0.519,2.196,11.847,0.886,5.247,2.201,0.174,1.025,448.0,32.0,0.5619142857142857,0.9594607142857142,0.626057142857143,1.2727249999999999,0.42306785714285716,3.4673535714285713,1.9312892857142856,8.016828571428572,1.2721250000000002,0.9594607142857142,0.4617785714285714,13.165042857142856,4.272057142857142,19.02487142857143,1.2700928571428574,0.26412142857142856,2.0,2.0,,6.0,,,,,6.0,,,,,,5.0,,,,,,,,8.42984,,80.0,,6.0,6.0
0,day4,mindfulness,all,all,,,,4.124,388768,16.895,85.379,25.733,13.213,14.93,4.15,3.598,11.626,1.349,5.474,2.884,1.672,1.323,410.0,28.0,0.5456807692307692,0.9500884615384616,0.6037307692307692,1.21945,0.3997269230769231,3.525888461538462,1.9209423076923076,8.23676923076923,1.218876923076923,0.9500884615384616,0.4848153846153846,23.473315384615383,4.953019230769231,23.391853846153847,1.809253846153846,0.29941153846153845,2.0,1.0,,,,,,,,,,,,,,6.0,2.0,3.0,3.0,0.0,0.0,5.0,8.60375,,80.0,,6.0,4.0
1,day1,jhana,all,all,,,,10.489,388088,3.909,73.378,18.152,8.944,3.244,1.206,2.69,16.963,0.308,4.177,6.001,0.33,2.076,360.0,26.0,0.4964703703703704,0.9306111111111112,0.6099888888888889,1.0469481481481482,0.35205555555555557,3.9914925925925924,1.9696333333333333,8.97957037037037,1.0464185185185184,0.9306111111111112,0.4174148148148148,17.70538148148148,9.915062962962963,21.66805925925926,1.793088888888889,0.21488148148148148,1.0,1.0,5.0,7.0,6.0,4.0,4.0,1.0,7.0,7.0,7.0,7.0,1.0,2.0,1.0,,,,,,,,7.43549,59.0,59.0,7.4271725,7.0,4.0
1,day1,mindfulness,all,all,,,,11.318,384440,10.249,71.763,28.35,17.287,6.523,3.643,1.79,18.26,0.826,3.632,4.775,0.35,1.459,432.0,27.0,0.4703806451612903,0.9184129032258065,0.5855354838709677,0.9761064516129032,0.3204258064516129,4.124467741935484,1.8908483870967743,9.370016129032258,0.9756032258064516,0.9184129032258065,0.5378709677419354,19.24453548387097,12.788864516129031,27.27468064516129,1.8830935483870967,0.18130967741935483,1.0,2.0,,,,,,,,,,,,,,7.0,6.0,2.0,1.0,0.0,0.0,4.0,7.06404,,59.0,,7.0,6.5
