sub,day,condition,button,jhana,ch_name,n_epochs,n_channels,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma
0,day1,jhana,all,all,Fp1,369,30,0.6016,0.9758,0.6407,1.371,0.4668,3.3722,2.0092,7.6082,1.3704,0.9758,0.6989,12.1272,3.2343,14.9535,0.9136,0.2733
0,day1,jhana,all,all,Fpz,369,30,0.5831,0.9734,0.6259,1.3314,0.4467,3.4865,2.0067,7.7603,1.3308,0.9734,0.7239,11.8449,3.7024,16.6498,0.9147,0.2687
0,day1,jhana,all,all,Fp2,369,30,0.5867,0.9741,0.6268,1.3392,0.4515,3.4625,2.0204,7.6993,1.3387,0.9741,0.6615,11.3019,3.6164,16.0811,0.8702,0.2791
0,day1,jhana,all,all,AF3,369,30,0.5659,0.9705,0.6104,1.2956,0.4263,3.6052,1.9343,7.9686,1.295,0.9705,0.6115,19.2726,4.452,17.8621,1.0445,0.287
0,day1,jhana,all,all,AF4,369,30,0.5635,0.9637,0.6161,1.2739,0.4165,3.5468,1.9952,7.9701,1.2733,0.9637,0.649,12.37,5.0421,19.7801,1.0555,0.3397
0,day1,jhana,all,all,F7,369,30,0.6083,0.9825,0.6653,1.4114,0.4936,3.2838,2.0227,7.4628,1.4108,0.9825,0.649,11.3676,2.5825,10.2234,0.8156,0.2329
0,day1,jhana,all,all,F3,369,30,0.5709,0.9669,0.624,1.2988,0.4262,3.5212,1.9822,7.8938,1.2982,0.9669,0.6615,15.0114,4.7966,18.2105,1.1961,0.2994
0,day1,jhana,all,all,Fz,369,30,0.5672,0.9566,0.6187,1.2607,0.4079,3.4834,1.9948,8.0091,1.2601,0.9566,0.6365,13.1156,6.9093,24.8499,1.4521,0.4078
0,day1,jhana,all,all,F4,369,30,0.5697,0.9615,0.6281,1.2878,0.4222,3.4443,2.0096,7.9041,1.2872,0.9615,0.5616,12.3074,5.385,19.4663,1.2049,0.4022
0,day1,jhana,all,all,F8,369,30,0.6078,0.9805,0.6448,1.395,0.4878,3.3281,2.0165,7.5301,1.3944,0.9805,0.6115,12.0548,2.7529,10.6053,0.6949,0.2469
0,day1,jhana,all,all,FC5,369,30,0.6241,0.9783,0.6766,1.4251,0.4972,3.2078,2.0096,7.3676,1.4246,0.9783,0.6864,9.5491,2.7861,10.7859,1.0022,0.2367
0,day1,jhana,all,all,FC1,369,30,0.5767,0.956,0.6394,1.293,0.421,3.3826,1.9916,7.8781,1.2925,0.956,0.624,12.207,5.5431,21.1541,1.8432,0.3415
0,day1,jhana,all,all,FC2,369,30,0.5436,0.9505,0.6143,1.2138,0.3859,3.6154,1.9211,8.2425,1.2133,0.9505,0.5866,22.7151,6.3741,23.0108,1.8467,0.3868
0,day1,jhana,all,all,FC6,369,30,0.6213,0.9792,0.6741,1.4138,0.506,3.2051,2.045,7.4577,1.4132,0.9792,0.6739,10.4154,2.9284,10.0702,0.8523,0.275
