sub,day,condition,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
0,day1,jhana,1,1,1.5,2,0,0,0,,0,0,0,0,0,,10,,,,,,,,8.57797,80,80,8.28744125,2,2
0,day1,mindfulness,1,2,,,,,,,,,,,,,,7,5,5,9,0,0,7,7.80177,,80,,7,6
0,day2,jhana,2,2,8,4,,,,,,,,,,,8,,,,,,,,7.95944,,80,,4,4
0,day2,mindfulness,2,1,,,,,,,,,,,,,,6,3,5,2,0,0,8,8.37795,,80,,6,4.5
0,day3,jhana,1,1,,4,,,,,,,,,,,8,,,,,,,,7.94771,,80,,4,4
0,day3,mindfulness,1,2,,,,,,,,,,,,,,3,3,3,3,0,0,2,8.6011,,80,,3,3
0,day4,jhana,2,2,,6,,,,,6,,,,,,5,,,,,,,,8.42984,,80,,6,6
0,day4,mindfulness,2,1,,,,,,,,,,,,,,6,2,3,3,0,0,5,8.60375,,80,,6,4
1,day1,jhana,1,1,5,7,6,4,4,1,7,7,7,7,1,2,1,,,,,,,,7.43549,59,59,7.4271725,7,4
1,day1,mindfulness,1,2,,,,,,,,,,,,,,7,6,2,1,0,0,4,7.06404,,59,,7,6.5
1,day2,jhana,2,2,8,6,6,,,4.5,8,8,,,3,,7,,,,,,,,7.19053,,59,,6,5.25
1,day2,mindfulness,2,1,,,,,,,,,,,,,,7,7,6,8,0,0,5,7.11586,,59,,7,7
1,day3,jhana,1,1,5,3,3,3,3,2,5,5,5,7,6,3,5,,,,,,,,6.76958,,59,,3,2.5
1,day3,mindfulness,1,2,,,,,,,,,,,,,,7,4,5,3,0,0,8,7.744,,59,,7,5.5
1,day4,jhana,2,2,,5,6,5,6,3,7.5,8,8,8,6,,3.5,,,,,,,,7.71663,,59,,5,4
1,day4,mindfulness,2,1,,,,,,,,,,,,,,7,5,6,6,0,0,6,8.38125,,59,,7,6
2,day1,jhana,1,2,6,7,8,8,9,5,8,8,8,9,6,4,7,,,,,,,,7.1741,69,69,6.86663625,7,6
2,day1,mindfulness,1,1,,,,,,,,,,,,,,9,7,3,4,0,0,7,6.44828,,69,,9,8
2,day2,jhana,2,1,7,8,8,7,8,7,7,7,8,9,7,4,6,,,,,,,,7.2671,,69,,8,7.5
2,day2,mindfulness,2,2,,,,,,,,,,,,,,8,5,7,7,0,0,7,7.38778,,69,,8,6.5
2,day3,jhana,1,2,7,9,9,8,8,7,7,7,8,8,,4,7,,,,,,,,6.77479,,69,,9,8
2,day3,mindfulness,1,1,,,,,,,,,,,,,,8,6,6,7,0,0,4,6.47792,,69,,8,7
2,day4,jhana,2,1,8.5,8,8,8,9,7,6,7,7,8,6,4,4,,,,,,,,6.76268,,69,,8,7.5
2,day4,mindfulness,2,2,,,,,,,,,,,,,,7,6,5,6,0,0,6,6.64044,,69,,7,6.5
3,day1,jhana,1,2,1,0,2,1,2,0,1,2,1,1,0,4,10,,,,,,,,8.33433,74,74,8.31567875,0,0
3,day1,mindfulness,1,1,,,,,,,,,,,,,,2,2,7,7,0,0,8,8.87163,,74,,2,2
3,day2,jhana,2,1,3,0,1,2,3,1,2,3,4,3,2,4,2,,,,,,,,8.07414,,74,,0,0.5
3,day2,mindfulness,2,2,,,,,,,,,,,,,,6,3,2,2,0,0,6,7.90535,,74,,6,4.5
3,day3,jhana,1,2,6,2,3,4,4,2,2,3,4,4,2,3,9,,,,,,,,8.2915,,74,,2,2
3,day3,mindfulness,1,1,,,,,,,,,,,,,,5,3,6,6,0,0,5,8.63654,,74,,5,4
3,day4,jhana,2,1,7,2,4,5,4,0,1,2,2,2,0,3,9,,,,,,,,8.37142,,74,,2,1
3,day4,mindfulness,2,2,,,,,,,,,,,,,,2,1,3,3,0,0,8,8.04052,,74,,2,1.5
4,day1,jhana,2,1,3,5,5,6,5,0,2,2,3,,1,1,4.5,,,,,,,,7.42374,114.5,114.5,7.40503375,5,2.5
4,day1,mindfulness,2,2,,,,,,,,,,,,,,6,6,5,5,1,0,3.5,7.151,,114.5,,6,6
4,day2,jhana,1,2,5,6,5,7,7,4,5,5,6,7,,,1.5,,,,,,,,8.20621,,114.5,,6,5
4,day2,mindfulness,1,1,,,,,,,,,,,,,,8,7,8,8,0,0,1.5,7.07907,,114.5,,8,7.5
4,day3,jhana,2,1,7,5,6,6,9,,5,5,6,8,6,4,1,,,,,,,,7.21696,,114.5,,5,5
4,day3,mindfulness,2,2,,,,,,,,,,,,,,9,8.5,8,7.5,1,0,0.5,7.09764,,114.5,,9,8.75
4,day4,jhana,1,2,,,6,6,8,7,8,8,7,8,7,4,0.5,,,,,,,,7.50135,,114.5,,0,7
4,day4,mindfulness,1,1,,,,,,,,,,,,,,7,4,7,1,0,0,1,7.5643,,114.5,,7,5.5
5,day1,jhana,2,1,,5,6,6,8,5,5,5,5,7,5,4,5,,,,,,,,8.70553,111,111,8.65554875,5,5
5,day1,mindfulness,2,2,,,,,,,,,,,,,,5,5,2,2,0,0,3,7.75343,,111,,5,5
5,day2,jhana,1,2,,8,6,6,7,,5,5,5,6,6,4,5,,,,,,,,8.01473,,111,,8,8
5,day2,mindfulness,1,1,,,,,,,,,,,,,,6,4,3,3,0,0,4,8.50694,,111,,6,5
5,day3,jhana,2,1,,6,7,8,9,9,5,5,7,7,7,4,6,,,,,,,,9.04134,,111,,6,7.5
5,day3,mindfulness,2,2,,,,,,,,,,,,,,3,3,2,1,0,0,3,8.86944,,111,,3,3
5,day4,jhana,1,2,,7,7,9,9,,6,6,7,7,6,4,,,,,,,,,9.15459,,111,,7,7
5,day4,mindfulness,1,1,,,,,,,,,,,,,,5,4,2,2,0,0,4,9.19839,,111,,5,4.5
6,day1,jhana,2,1,3,5,5,5,4,4,5,5,5,4,2.5,3,5,,,,,,,,8.3006,52,52,8.347085,5,4.5
6,day1,mindfulness,2,2,,,,,,,,,,,,,,8,7,6,4,0,0,3,8.60949,,52,,8,7.5
6,day2,jhana,1,2,8,6,7,7,,,8,8,8,,,3,3,,,,,,,,8.42147,,52,,6,6
6,day2,mindfulness,1,1,,,,,,,,,,,,,,8,5,8,5,0,0,3,8.61821,,52,,8,6.5
